id;day;start_time;end_time;organization_id
205;Saturday;08:00:00;16:00:00;41
206;Monday;08:00:00;18:00:00;42
207;Tuesday;08:00:00;18:00:00;42
208;Thursday;08:00:00;19:00:00;42
209;Friday;08:00:00;19:00:00;42
210;Saturday;08:00:00;16:00:00;42
211;Monday;08:00:00;18:00:00;43
212;Tuesday;08:00:00;18:00:00;43
213;Thursday;08:00:00;19:00:00;43
214;Friday;08:00:00;19:00:00;43
215;Saturday;08:00:00;16:00:00;43
216;Monday;08:00:00;18:00:00;44
217;Tuesday;08:00:00;18:00:00;44
218;Thursday;08:00:00;19:00:00;44
219;Friday;08:00:00;19:00:00;44
220;Saturday;08:00:00;16:00:00;44
221;Monday;08:00:00;18:00:00;45
222;Tuesday;08:00:00;18:00:00;45
223;Thursday;08:00:00;19:00:00;45
224;Friday;08:00:00;19:00:00;45
225;Saturday;08:00:00;16:00:00;45
226;Monday;08:00:00;18:00:00;46
227;Tuesday;08:00:00;18:00:00;46
228;Thursday;08:00:00;19:00:00;46
229;Friday;08:00:00;19:00:00;46
230;Saturday;08:00:00;16:00:00;46
231;Monday;08:00:00;18:00:00;47
232;Tuesday;08:00:00;18:00:00;47
233;Thursday;08:00:00;19:00:00;47
234;Friday;08:00:00;19:00:00;47
235;Saturday;08:00:00;16:00:00;47
236;Monday;08:00:00;18:00:00;48
237;Tuesday;08:00:00;18:00:00;48
238;Thursday;08:00:00;19:00:00;48
239;Friday;08:00:00;19:00:00;48
240;Saturday;08:00:00;16:00:00;48
241;Monday;08:00:00;18:00:00;49
242;Tuesday;08:00:00;18:00:00;49
243;Thursday;08:00:00;19:00:00;49
244;Friday;08:00:00;19:00:00;49
245;Saturday;08:00:00;16:00:00;49
246;Monday;08:00:00;18:00:00;50
247;Tuesday;08:00:00;18:00:00;50
248;Thursday;08:00:00;19:00:00;50
249;Friday;08:00:00;19:00:00;50
250;Saturday;08:00:00;16:00:00;50
251;Monday;08:00:00;18:00:00;51
252;Tuesday;08:00:00;18:00:00;51
253;Thursday;08:00:00;19:00:00;51
254;Friday;08:00:00;19:00:00;51
255;Saturday;08:00:00;16:00:00;51
256;Monday;08:00:00;18:00:00;52
257;Tuesday;08:00:00;18:00:00;52
258;Thursday;08:00:00;19:00:00;52
259;Friday;08:00:00;19:00:00;52
260;Saturday;08:00:00;16:00:00;52
261;Monday;08:00:00;18:00:00;53
262;Tuesday;08:00:00;18:00:00;53
263;Thursday;08:00:00;19:00:00;53
264;Friday;08:00:00;19:00:00;53
265;Saturday;08:00:00;16:00:00;53
266;Monday;08:00:00;18:00:00;54
267;Tuesday;08:00:00;18:00:00;54
268;Thursday;08:00:00;19:00:00;54
269;Friday;08:00:00;19:00:00;54
270;Saturday;08:00:00;16:00:00;54
271;Monday;08:00:00;18:00:00;55
272;Tuesday;08:00:00;18:00:00;55
273;Thursday;08:00:00;19:00:00;55
274;Friday;08:00:00;19:00:00;55
275;Saturday;08:00:00;16:00:00;55
276;Monday;08:00:00;18:00:00;56
277;Tuesday;08:00:00;18:00:00;56
278;Thursday;08:00:00;19:00:00;56
279;Friday;08:00:00;19:00:00;56
280;Saturday;08:00:00;16:00:00;56
281;Monday;08:00:00;18:00:00;57
282;Tuesday;08:00:00;18:00:00;57
283;Thursday;08:00:00;19:00:00;57
284;Friday;08:00:00;19:00:00;57
285;Saturday;08:00:00;16:00:00;57
286;Monday;08:00:00;18:00:00;58
287;Tuesday;08:00:00;18:00:00;58
288;Thursday;08:00:00;19:00:00;58
289;Friday;08:00:00;19:00:00;58
290;Saturday;08:00:00;16:00:00;58
291;Monday;08:00:00;18:00:00;59
292;Tuesday;08:00:00;18:00:00;59
293;Thursday;08:00:00;19:00:00;59
294;Friday;08:00:00;19:00:00;59
295;Saturday;08:00:00;16:00:00;59
296;Monday;08:00:00;18:00:00;60
297;Tuesday;08:00:00;18:00:00;60
298;Thursday;08:00:00;19:00:00;60
299;Friday;08:00:00;19:00:00;60
300;Saturday;08:00:00;16:00:00;60
301;Monday;08:00:00;18:00:00;61
302;Tuesday;08:00:00;18:00:00;61
303;Thursday;08:00:00;19:00:00;61
304;Friday;08:00:00;19:00:00;61
305;Saturday;08:00:00;16:00:00;61
306;Monday;08:00:00;18:00:00;62
307;Tuesday;08:00:00;18:00:00;62
308;Thursday;08:00:00;19:00:00;62
309;Friday;08:00:00;19:00:00;62
310;Saturday;08:00:00;16:00:00;62
311;Monday;08:00:00;18:00:00;63
312;Tuesday;08:00:00;18:00:00;63
313;Thursday;08:00:00;19:00:00;63
314;Friday;08:00:00;19:00:00;63
315;Saturday;08:00:00;16:00:00;63
316;Monday;08:00:00;18:00:00;64
317;Tuesday;08:00:00;18:00:00;64
318;Thursday;08:00:00;19:00:00;64
319;Friday;08:00:00;19:00:00;64
320;Saturday;08:00:00;16:00:00;64
321;Monday;08:00:00;18:00:00;65
322;Tuesday;08:00:00;18:00:00;65
323;Thursday;08:00:00;19:00:00;65
324;Friday;08:00:00;19:00:00;65
325;Saturday;08:00:00;16:00:00;65
326;Monday;08:00:00;18:00:00;66
327;Tuesday;08:00:00;18:00:00;66
328;Thursday;08:00:00;19:00:00;66
329;Friday;08:00:00;19:00:00;66
330;Saturday;08:00:00;16:00:00;66
331;Monday;08:00:00;18:00:00;67
332;Tuesday;08:00:00;18:00:00;67
333;Thursday;08:00:00;19:00:00;67
334;Friday;08:00:00;19:00:00;67
335;Saturday;08:00:00;16:00:00;67
336;Monday;08:00:00;18:00:00;68
337;Tuesday;08:00:00;18:00:00;68
338;Thursday;08:00:00;19:00:00;68
339;Friday;08:00:00;19:00:00;68
340;Saturday;08:00:00;16:00:00;68
341;Monday;08:00:00;18:00:00;69
342;Tuesday;08:00:00;18:00:00;69
343;Thursday;08:00:00;19:00:00;69
344;Friday;08:00:00;19:00:00;69
345;Saturday;08:00:00;16:00:00;69
346;Monday;08:00:00;18:00:00;70
347;Tuesday;08:00:00;18:00:00;70
348;Thursday;08:00:00;19:00:00;70
349;Friday;08:00:00;19:00:00;70
350;Saturday;08:00:00;16:00:00;70
351;Monday;08:00:00;18:00:00;71
352;Tuesday;08:00:00;18:00:00;71
353;Thursday;08:00:00;19:00:00;71
354;Friday;08:00:00;19:00:00;71
355;Saturday;08:00:00;16:00:00;71
356;Monday;08:00:00;18:00:00;72
357;Tuesday;08:00:00;18:00:00;72
358;Thursday;08:00:00;19:00:00;72
359;Friday;08:00:00;19:00:00;72
360;Saturday;08:00:00;16:00:00;72
361;Monday;08:00:00;18:00:00;73
362;Tuesday;08:00:00;18:00:00;73
363;Thursday;08:00:00;19:00:00;73
364;Friday;08:00:00;19:00:00;73
365;Saturday;08:00:00;16:00:00;73
366;Monday;08:00:00;18:00:00;74
367;Tuesday;08:00:00;18:00:00;74
368;Thursday;08:00:00;19:00:00;74
369;Friday;08:00:00;19:00:00;74
370;Saturday;08:00:00;16:00:00;74
371;Monday;08:00:00;18:00:00;75
372;Tuesday;08:00:00;18:00:00;75
373;Thursday;08:00:00;19:00:00;75
374;Friday;08:00:00;19:00:00;75
375;Saturday;08:00:00;16:00:00;75
376;Monday;08:00:00;18:00:00;76
377;Tuesday;08:00:00;18:00:00;76
378;Thursday;08:00:00;19:00:00;76
379;Friday;08:00:00;19:00:00;76
380;Saturday;08:00:00;16:00:00;76
381;Monday;08:00:00;18:00:00;77
382;Tuesday;08:00:00;18:00:00;77
383;Thursday;08:00:00;19:00:00;77
384;Friday;08:00:00;19:00:00;77
385;Saturday;08:00:00;16:00:00;77
386;Monday;08:00:00;18:00:00;78
387;Tuesday;08:00:00;18:00:00;78
388;Thursday;08:00:00;19:00:00;78
389;Friday;08:00:00;19:00:00;78
390;Saturday;08:00:00;16:00:00;78
391;Monday;08:00:00;18:00:00;79
392;Tuesday;08:00:00;18:00:00;79
393;Thursday;08:00:00;19:00:00;79
394;Friday;08:00:00;19:00:00;79
395;Saturday;08:00:00;16:00:00;79
396;Monday;08:00:00;18:00:00;80
397;Tuesday;08:00:00;18:00:00;80
398;Thursday;08:00:00;19:00:00;80
399;Friday;08:00:00;19:00:00;80
400;Saturday;08:00:00;16:00:00;80
401;Monday;08:00:00;18:00:00;81
402;Tuesday;08:00:00;18:00:00;81
403;Thursday;08:00:00;19:00:00;81
404;Friday;08:00:00;19:00:00;81
405;Saturday;08:00:00;16:00:00;81
406;Monday;08:00:00;18:00:00;82
407;Tuesday;08:00:00;18:00:00;82
408;Thursday;08:00:00;19:00:00;82
409;Friday;08:00:00;19:00:00;82
410;Saturday;08:00:00;16:00:00;82
411;Monday;08:00:00;18:00:00;83
412;Tuesday;08:00:00;18:00:00;83
413;Thursday;08:00:00;19:00:00;83
414;Friday;08:00:00;19:00:00;83
415;Saturday;08:00:00;16:00:00;83
416;Monday;08:00:00;18:00:00;84
417;Tuesday;08:00:00;18:00:00;84
418;Thursday;08:00:00;19:00:00;84
419;Friday;08:00:00;19:00:00;84
420;Saturday;08:00:00;16:00:00;84
421;Monday;08:00:00;18:00:00;85
422;Tuesday;08:00:00;18:00:00;85
423;Thursday;08:00:00;19:00:00;85
424;Friday;08:00:00;19:00:00;85
425;Saturday;08:00:00;16:00:00;85
426;Monday;08:00:00;18:00:00;86
427;Tuesday;08:00:00;18:00:00;86
428;Thursday;08:00:00;19:00:00;86
429;Friday;08:00:00;19:00:00;86
430;Saturday;08:00:00;16:00:00;86
431;Monday;08:00:00;18:00:00;87
432;Tuesday;08:00:00;18:00:00;87
433;Thursday;08:00:00;19:00:00;87
434;Friday;08:00:00;19:00:00;87
435;Saturday;08:00:00;16:00:00;87
436;Monday;08:00:00;18:00:00;88
437;Tuesday;08:00:00;18:00:00;88
438;Thursday;08:00:00;19:00:00;88
439;Friday;08:00:00;19:00:00;88
440;Saturday;08:00:00;16:00:00;88
441;Monday;08:00:00;18:00:00;89
442;Tuesday;08:00:00;18:00:00;89
443;Thursday;08:00:00;19:00:00;89
444;Friday;08:00:00;19:00:00;89
445;Saturday;08:00:00;16:00:00;89
446;Monday;08:00:00;18:00:00;90
447;Tuesday;08:00:00;18:00:00;90
448;Thursday;08:00:00;19:00:00;90
449;Friday;08:00:00;19:00:00;90
450;Saturday;08:00:00;16:00:00;90
451;Monday;08:00:00;18:00:00;91
452;Tuesday;08:00:00;18:00:00;91
453;Thursday;08:00:00;19:00:00;91
454;Friday;08:00:00;19:00:00;91
455;Saturday;08:00:00;16:00:00;91
456;Monday;08:00:00;18:00:00;92
457;Tuesday;08:00:00;18:00:00;92
458;Thursday;08:00:00;19:00:00;92
459;Friday;08:00:00;19:00:00;92
460;Saturday;08:00:00;16:00:00;92
461;Monday;08:00:00;18:00:00;93
462;Tuesday;08:00:00;18:00:00;93
463;Thursday;08:00:00;19:00:00;93
464;Friday;08:00:00;19:00:00;93
465;Saturday;08:00:00;16:00:00;93
466;Monday;08:00:00;18:00:00;94
467;Tuesday;08:00:00;18:00:00;94
468;Thursday;08:00:00;19:00:00;94
469;Friday;08:00:00;19:00:00;94
470;Saturday;08:00:00;16:00:00;94
471;Monday;08:00:00;18:00:00;95
472;Tuesday;08:00:00;18:00:00;95
473;Thursday;08:00:00;19:00:00;95
474;Friday;08:00:00;19:00:00;95
475;Saturday;08:00:00;16:00:00;95
476;Monday;08:00:00;18:00:00;96
477;Tuesday;08:00:00;18:00:00;96
478;Thursday;08:00:00;19:00:00;96
479;Friday;08:00:00;19:00:00;96
480;Saturday;08:00:00;16:00:00;96
481;Monday;08:00:00;18:00:00;97
482;Tuesday;08:00:00;18:00:00;97
483;Thursday;08:00:00;19:00:00;97
484;Friday;08:00:00;19:00:00;97
485;Saturday;08:00:00;16:00:00;97
486;Monday;08:00:00;18:00:00;98
487;Tuesday;08:00:00;18:00:00;98
488;Thursday;08:00:00;19:00:00;98
489;Friday;08:00:00;19:00:00;98
490;Saturday;08:00:00;16:00:00;98
491;Monday;08:00:00;18:00:00;99
492;Tuesday;08:00:00;18:00:00;99
493;Thursday;08:00:00;19:00:00;99
494;Friday;08:00:00;19:00:00;99
495;Saturday;08:00:00;16:00:00;99
496;Monday;08:00:00;18:00:00;100
497;Tuesday;08:00:00;18:00:00;100
498;Thursday;08:00:00;19:00:00;100
499;Friday;08:00:00;19:00:00;100
500;Saturday;08:00:00;16:00:00;100
501;Monday;08:00:00;18:00:00;101
502;Tuesday;08:00:00;18:00:00;101
503;Thursday;08:00:00;19:00:00;101
504;Friday;08:00:00;19:00:00;101
505;Saturday;08:00:00;16:00:00;101
506;Monday;08:00:00;18:00:00;102
507;Tuesday;08:00:00;18:00:00;102
508;Thursday;08:00:00;19:00:00;102
509;Friday;08:00:00;19:00:00;102
510;Saturday;08:00:00;16:00:00;102
511;Monday;08:00:00;18:00:00;103
512;Tuesday;08:00:00;18:00:00;103
513;Thursday;08:00:00;19:00:00;103
514;Friday;08:00:00;19:00:00;103
515;Saturday;08:00:00;16:00:00;103
516;Monday;08:00:00;18:00:00;104
517;Tuesday;08:00:00;18:00:00;104
518;Thursday;08:00:00;19:00:00;104
519;Friday;08:00:00;19:00:00;104
520;Saturday;08:00:00;16:00:00;104
521;Monday;08:00:00;18:00:00;105
522;Tuesday;08:00:00;18:00:00;105
523;Thursday;08:00:00;19:00:00;105
524;Friday;08:00:00;19:00:00;105
525;Saturday;08:00:00;16:00:00;105
526;Monday;08:00:00;18:00:00;106
527;Tuesday;08:00:00;18:00:00;106
528;Thursday;08:00:00;19:00:00;106
529;Friday;08:00:00;19:00:00;106
530;Saturday;08:00:00;16:00:00;106
531;Monday;08:00:00;18:00:00;107
532;Tuesday;08:00:00;18:00:00;107
533;Thursday;08:00:00;19:00:00;107
534;Friday;08:00:00;19:00:00;107
535;Saturday;08:00:00;16:00:00;107
536;Monday;08:00:00;18:00:00;108
537;Tuesday;08:00:00;18:00:00;108
538;Thursday;08:00:00;19:00:00;108
539;Friday;08:00:00;19:00:00;108
540;Saturday;08:00:00;16:00:00;108
541;Monday;08:00:00;18:00:00;109
542;Tuesday;08:00:00;18:00:00;109
543;Thursday;08:00:00;19:00:00;109
544;Friday;08:00:00;19:00:00;109
545;Saturday;08:00:00;16:00:00;109
546;Monday;08:00:00;18:00:00;110
547;Tuesday;08:00:00;18:00:00;110
548;Thursday;08:00:00;19:00:00;110
549;Friday;08:00:00;19:00:00;110
550;Saturday;08:00:00;16:00:00;110
551;Monday;08:00:00;18:00:00;111
552;Tuesday;08:00:00;18:00:00;111
553;Thursday;08:00:00;19:00:00;111
554;Friday;08:00:00;19:00:00;111
555;Saturday;08:00:00;16:00:00;111
556;Monday;08:00:00;18:00:00;112
557;Tuesday;08:00:00;18:00:00;112
558;Thursday;08:00:00;19:00:00;112
559;Friday;08:00:00;19:00:00;112
560;Saturday;08:00:00;16:00:00;112
561;Monday;08:00:00;18:00:00;113
562;Tuesday;08:00:00;18:00:00;113
563;Thursday;08:00:00;19:00:00;113
564;Friday;08:00:00;19:00:00;113
565;Saturday;08:00:00;16:00:00;113
566;Monday;08:00:00;18:00:00;114
567;Tuesday;08:00:00;18:00:00;114
568;Thursday;08:00:00;19:00:00;114
569;Friday;08:00:00;19:00:00;114
570;Saturday;08:00:00;16:00:00;114
571;Monday;08:00:00;18:00:00;115
572;Tuesday;08:00:00;18:00:00;115
573;Thursday;08:00:00;19:00:00;115
574;Friday;08:00:00;19:00:00;115
575;Saturday;08:00:00;16:00:00;115
576;Monday;08:00:00;18:00:00;116
577;Tuesday;08:00:00;18:00:00;116
578;Thursday;08:00:00;19:00:00;116
579;Friday;08:00:00;19:00:00;116
580;Saturday;08:00:00;16:00:00;116
581;Monday;08:00:00;18:00:00;117
582;Tuesday;08:00:00;18:00:00;117
583;Thursday;08:00:00;19:00:00;117
584;Friday;08:00:00;19:00:00;117
585;Saturday;08:00:00;16:00:00;117
586;Monday;08:00:00;18:00:00;118
587;Tuesday;08:00:00;18:00:00;118
588;Thursday;08:00:00;19:00:00;118
589;Friday;08:00:00;19:00:00;118
590;Saturday;08:00:00;16:00:00;118
591;Monday;08:00:00;18:00:00;119
592;Tuesday;08:00:00;18:00:00;119
593;Thursday;08:00:00;19:00:00;119
594;Friday;08:00:00;19:00:00;119
595;Saturday;08:00:00;16:00:00;119
596;Monday;08:00:00;18:00:00;120
597;Tuesday;08:00:00;18:00:00;120
598;Thursday;08:00:00;19:00:00;120
599;Friday;08:00:00;19:00:00;120
600;Saturday;08:00:00;16:00:00;120
601;Monday;08:00:00;18:00:00;121
602;Tuesday;08:00:00;18:00:00;121
603;Thursday;08:00:00;19:00:00;121
604;Friday;08:00:00;19:00:00;121
605;Saturday;08:00:00;16:00:00;121
606;Monday;08:00:00;18:00:00;122
607;Tuesday;08:00:00;18:00:00;122
608;Thursday;08:00:00;19:00:00;122
609;Friday;08:00:00;19:00:00;122
610;Saturday;08:00:00;16:00:00;122
611;Monday;08:00:00;18:00:00;123
612;Tuesday;08:00:00;18:00:00;123
613;Thursday;08:00:00;19:00:00;123
614;Friday;08:00:00;19:00:00;123
615;Saturday;08:00:00;16:00:00;123
616;Monday;08:00:00;18:00:00;124
617;Tuesday;08:00:00;18:00:00;124
618;Thursday;08:00:00;19:00:00;124
619;Friday;08:00:00;19:00:00;124
620;Saturday;08:00:00;16:00:00;124
621;Monday;08:00:00;18:00:00;125
622;Tuesday;08:00:00;18:00:00;125
623;Thursday;08:00:00;19:00:00;125
624;Friday;08:00:00;19:00:00;125
625;Saturday;08:00:00;16:00:00;125
626;Monday;08:00:00;18:00:00;126
627;Tuesday;08:00:00;18:00:00;126
628;Thursday;08:00:00;19:00:00;126
629;Friday;08:00:00;19:00:00;126
630;Saturday;08:00:00;16:00:00;126
631;Monday;08:00:00;18:00:00;127
632;Tuesday;08:00:00;18:00:00;127
633;Thursday;08:00:00;19:00:00;127
634;Friday;08:00:00;19:00:00;127
635;Saturday;08:00:00;16:00:00;127
636;Monday;08:00:00;18:00:00;128
637;Tuesday;08:00:00;18:00:00;128
638;Thursday;08:00:00;19:00:00;128
639;Friday;08:00:00;19:00:00;128
640;Saturday;08:00:00;16:00:00;128
641;Monday;08:00:00;18:00:00;129
642;Tuesday;08:00:00;18:00:00;129
643;Thursday;08:00:00;19:00:00;129
644;Friday;08:00:00;19:00:00;129
645;Saturday;08:00:00;16:00:00;129
646;Monday;08:00:00;18:00:00;130
647;Tuesday;08:00:00;18:00:00;130
648;Thursday;08:00:00;19:00:00;130
649;Friday;08:00:00;19:00:00;130
650;Saturday;08:00:00;16:00:00;130
651;Monday;08:00:00;18:00:00;131
652;Tuesday;08:00:00;18:00:00;131
653;Thursday;08:00:00;19:00:00;131
654;Friday;08:00:00;19:00:00;131
655;Saturday;08:00:00;16:00:00;131
656;Monday;08:00:00;18:00:00;132
657;Tuesday;08:00:00;18:00:00;132
658;Thursday;08:00:00;19:00:00;132
659;Friday;08:00:00;19:00:00;132
660;Saturday;08:00:00;16:00:00;132
661;Monday;08:00:00;18:00:00;133
662;Tuesday;08:00:00;18:00:00;133
663;Thursday;08:00:00;19:00:00;133
664;Friday;08:00:00;19:00:00;133
665;Saturday;08:00:00;16:00:00;133
666;Monday;08:00:00;18:00:00;134
667;Tuesday;08:00:00;18:00:00;134
668;Thursday;08:00:00;19:00:00;134
669;Friday;08:00:00;19:00:00;134
670;Saturday;08:00:00;16:00:00;134
671;Monday;08:00:00;18:00:00;135
